DISTRICT,HOUR,count
A1,0,4
A1,1,3
A1,2,7
A1,3,5
A1,6,1
A1,8,1
A1,9,2
A1,12,1
A1,13,1
A1,16,1
A1,17,2
A1,19,2
A1,20,4
A1,21,2
A1,22,2
A1,23,2
A15,0,3
A15,4,1
A15,6,1
A15,15,1
A15,16,1
A15,19,1
A15,20,4
A15,21,2
A15,22,1
A15,23,1
A7,0,4
A7,4,2
A7,9,1
A7,11,1
A7,12,1
A7,13,1
A7,14,3
A7,17,1
A7,18,1
A7,19,2
A7,20,2
A7,21,2
A7,22,4
A7,23,4
B2,0,50
B2,1,30
B2,2,20
B2,3,21
B2,4,13
B2,5,11
B2,6,7
B2,7,7
B2,8,3
B2,9,4
B2,10,5
B2,11,6
B2,12,6
B2,13,5
B2,14,6
B2,15,11
B2,16,17
B2,17,18
B2,18,26
B2,19,21
B2,20,31
B2,21,34
B2,22,37
B2,23,28
B3,0,50
B3,1,37
B3,2,30
B3,3,28
B3,4,20
B3,5,16
B3,6,9
B3,7,10
B3,8,5
B3,9,6
B3,10,3
B3,11,7
B3,12,6
B3,13,5
B3,14,4
B3,15,10
B3,16,12
B3,17,14
B3,18,6
B3,19,17
B3,20,32
B3,21,23
B3,22,29
B3,23,42
C11,0,35
C11,1,42
C11,2,22
C11,3,17
C11,4,16
C11,5,8
C11,6,7
C11,7,4
C11,9,4
C11,10,3
C11,11,3
C11,12,12
C11,13,1
C11,14,11
C11,15,13
C11,16,4
C11,17,12
C11,18,14
C11,19,15
C11,20,18
C11,21,27
C11,22,23
C11,23,24
C6,0,4
C6,1,2
C6,2,2
C6,3,2
C6,6,1
C6,8,1
C6,10,2
C6,11,2
C6,12,1
C6,13,2
C6,14,3
C6,15,1
C6,16,1
C6,17,6
C6,18,2
C6,19,5
C6,20,6
C6,21,10
C6,22,4
C6,23,4
D14,0,1
D14,1,3
D14,2,3
D14,3,1
D14,6,1
D14,9,2
D14,10,1
D14,11,1
D14,17,1
D14,18,3
D14,20,2
D14,21,3
D14,22,9
D14,23,9
D4,0,6
D4,1,5
D4,2,11
D4,3,3
D4,4,2
D4,5,3
D4,6,3
D4,10,1
D4,11,1
D4,12,1
D4,13,2
D4,16,2
D4,17,4
D4,18,4
D4,19,5
D4,20,4
D4,21,11
D4,22,9
D4,23,9
E13,0,15
E13,1,7
E13,2,3
E13,3,1
E13,4,1
E13,5,5
E13,6,1
E13,7,1
E13,9,3
E13,10,3
E13,11,5
E13,12,1
E13,14,1
E13,15,5
E13,16,2
E13,17,2
E13,18,3
E13,19,8
E13,20,7
E13,21,16
E13,22,18
E13,23,11
E18,0,8
E18,1,11
E18,2,9
E18,3,5
E18,4,2
E18,5,2
E18,6,1
E18,7,1
E18,9,1
E18,10,3
E18,11,3
E18,12,1
E18,13,1
E18,14,2
E18,15,1
E18,16,2
E18,17,4
E18,18,4
E18,19,2
E18,20,10
E18,21,12
E18,22,10
E18,23,15
E5,0,5
E5,1,2
E5,2,3
E5,3,2
E5,7,2
E5,8,2
E5,9,1
E5,11,3
E5,12,1
E5,14,2
E5,15,2
E5,16,2
E5,17,2
E5,18,2
E5,19,9
E5,20,3
E5,21,4
E5,22,3
E5,23,7
External,0,1
External,18,1
External,22,1
